"Identification","E-Tag","Link","Title","Author(s)","Publisher","Published Date","Page Count","Average Rating","Ratings Count"
"qYe_CwAAQBAJ","NOeNQ/qjiVI","https://www.googleapis.com/books/v1/volumes/qYe_CwAAQBAJ","The Caped Crusade","[""Glen Weldon""]","Simon and Schuster","2016-03-22",336,,
"tgxiRwAACAAJ","K1zXNUsrJ1Y","https://www.googleapis.com/books/v1/volumes/tgxiRwAACAAJ","My First Batman Book","[""David Bar Katz""]","Downtown Bookworks","2011-01-11",12,,
"VQkzMQAACAAJ","RjV7oy55pDU","https://www.googleapis.com/books/v1/volumes/VQkzMQAACAAJ","Batman: Year One Deluxe Edition","[""Frank Miller""]",,"2017-09-12",288,,
"73wknu2cVIkC","J0hokmXO+58","https://www.googleapis.com/books/v1/volumes/73wknu2cVIkC","Batman - The Complete History","[""Les Daniels""]","Chronicle Books","2004-04-01",208,4.5,5
"br1KlyUhmloC","Kep96qBHsGI","https://www.googleapis.com/books/v1/volumes/br1KlyUhmloC","Batman","[""John Shirley"",""Bob Kane""]","Random House Digital, Inc.","2006",310,3.5,2
"WkeCNwAACAAJ","iOB9Tba9gQg","https://www.googleapis.com/books/v1/volumes/WkeCNwAACAAJ","Batman","[""Yoshinori Natsume"",""Rob Leigh"",""Sheldon Drzka"",""Bob Kane""]","Titan Books (UK)","2008",190,4,2
"7AY6rnQmBssC","i6X9S0yrWh4","https://www.googleapis.com/books/v1/volumes/7AY6rnQmBssC","The Dark Knight: Batman vs. the Cat Commander","[""J.E. Bright""]","Capstone","2014",88,4,1
"4Ff5D0LuwZAC","QWCROWrKFwc","https://www.googleapis.com/books/v1/volumes/4Ff5D0LuwZAC","Batman Undercover","[""Paul Weissburg"",""Luciano Vecchio""]","Capstone Classroom","2013-01-01",81,,
"L7E-DwAAQBAJ","iidTLzrSjpQ","https://www.googleapis.com/books/v1/volumes/L7E-DwAAQBAJ","Batman (2016-) #39","[""Tom King""]","DC Comics","2018-01-17",20,,
"K10Cs-4ZsMwC","5toYFgh2vTU","https://www.googleapis.com/books/v1/volumes/K10Cs-4ZsMwC","Batman: Fun House of Evil","[""Donald B. Lemke"",""Mike De Carlo"",""David Tanguay""]","Capstone","2009-01-01",88,,
"qYe_CwAAQBAJ","NOeNQ/qjiVI","https://www.googleapis.com/books/v1/volumes/qYe_CwAAQBAJ","The Caped Crusade","[""Glen Weldon""]","Simon and Schuster","2016-03-22",336,,
"tgxiRwAACAAJ","K1zXNUsrJ1Y","https://www.googleapis.com/books/v1/volumes/tgxiRwAACAAJ","My First Batman Book","[""David Bar Katz""]","Downtown Bookworks","2011-01-11",12,,
"VQkzMQAACAAJ","RjV7oy55pDU","https://www.googleapis.com/books/v1/volumes/VQkzMQAACAAJ","Batman: Year One Deluxe Edition","[""Frank Miller""]",,"2017-09-12",288,,
"73wknu2cVIkC","J0hokmXO+58","https://www.googleapis.com/books/v1/volumes/73wknu2cVIkC","Batman - The Complete History","[""Les Daniels""]","Chronicle Books","2004-04-01",208,4.5,5
"br1KlyUhmloC","Kep96qBHsGI","https://www.googleapis.com/books/v1/volumes/br1KlyUhmloC","Batman","[""John Shirley"",""Bob Kane""]","Random House Digital, Inc.","2006",310,3.5,2
"7AY6rnQmBssC","J/qmfDFiZqE","https://www.googleapis.com/books/v1/volumes/7AY6rnQmBssC","The Dark Knight: Batman vs. the Cat Commander","[""J.E. Bright""]","Capstone","2014",88,4,1
"4Ff5D0LuwZAC","fzRGZ+7mBAU","https://www.googleapis.com/books/v1/volumes/4Ff5D0LuwZAC","Batman Undercover","[""Paul Weissburg"",""Luciano Vecchio""]","Capstone Classroom","2013-01-01",81,,
"K10Cs-4ZsMwC","VhPBeQgIyjw","https://www.googleapis.com/books/v1/volumes/K10Cs-4ZsMwC","Batman: Fun House of Evil","[""Donald B. Lemke"",""Mike De Carlo"",""David Tanguay""]","Capstone","2009-01-01",88,,
"WkeCNwAACAAJ","g7AKQdHETl0","https://www.googleapis.com/books/v1/volumes/WkeCNwAACAAJ","Batman","[""Yoshinori Natsume"",""Rob Leigh"",""Sheldon Drzka"",""Bob Kane""]","Titan Books (UK)","2008",190,4,2
"nHuLCwAAQBAJ","YRQ6kkqWgwI","https://www.googleapis.com/books/v1/volumes/nHuLCwAAQBAJ","Batman: Contagion","[""Chuck Dixon"",""Doug Moench"",""Alan Grant""]","DC","2016-03-15",504,,
"bQFZLZsRppgC","qMOJC2mLgew","https://www.googleapis.com/books/v1/volumes/bQFZLZsRppgC","Batman","[""John Marriott""]",,"1989",96,3,1
"tgxiRwAACAAJ","K1zXNUsrJ1Y","https://www.googleapis.com/books/v1/volumes/tgxiRwAACAAJ","My First Batman Book","[""David Bar Katz""]","Downtown Bookworks","2011-01-11",12,,
"VQkzMQAACAAJ","RjV7oy55pDU","https://www.googleapis.com/books/v1/volumes/VQkzMQAACAAJ","Batman: Year One Deluxe Edition","[""Frank Miller""]",,"2017-09-12",288,,
"73wknu2cVIkC","J0hokmXO+58","https://www.googleapis.com/books/v1/volumes/73wknu2cVIkC","Batman - The Complete History","[""Les Daniels""]","Chronicle Books","2004-04-01",208,4.5,5
"br1KlyUhmloC","Kep96qBHsGI","https://www.googleapis.com/books/v1/volumes/br1KlyUhmloC","Batman","[""John Shirley"",""Bob Kane""]","Random House Digital, Inc.","2006",310,3.5,2
"7AY6rnQmBssC","J/qmfDFiZqE","https://www.googleapis.com/books/v1/volumes/7AY6rnQmBssC","The Dark Knight: Batman vs. the Cat Commander","[""J.E. Bright""]","Capstone","2014",88,4,1
"4Ff5D0LuwZAC","fzRGZ+7mBAU","https://www.googleapis.com/books/v1/volumes/4Ff5D0LuwZAC","Batman Undercover","[""Paul Weissburg"",""Luciano Vecchio""]","Capstone Classroom","2013-01-01",81,,
"K10Cs-4ZsMwC","VhPBeQgIyjw","https://www.googleapis.com/books/v1/volumes/K10Cs-4ZsMwC","Batman: Fun House of Evil","[""Donald B. Lemke"",""Mike De Carlo"",""David Tanguay""]","Capstone","2009-01-01",88,,
"WkeCNwAACAAJ","g7AKQdHETl0","https://www.googleapis.com/books/v1/volumes/WkeCNwAACAAJ","Batman","[""Yoshinori Natsume"",""Rob Leigh"",""Sheldon Drzka"",""Bob Kane""]","Titan Books (UK)","2008",190,4,2
"nHuLCwAAQBAJ","YRQ6kkqWgwI","https://www.googleapis.com/books/v1/volumes/nHuLCwAAQBAJ","Batman: Contagion","[""Chuck Dixon"",""Doug Moench"",""Alan Grant""]","DC","2016-03-15",504,,
"bQFZLZsRppgC","qMOJC2mLgew","https://www.googleapis.com/books/v1/volumes/bQFZLZsRppgC","Batman","[""John Marriott""]",,"1989",96,3,1
"tgxiRwAACAAJ","K1zXNUsrJ1Y","https://www.googleapis.com/books/v1/volumes/tgxiRwAACAAJ","My First Batman Book","[""David Bar Katz""]","Downtown Bookworks","2011-01-11",12,,
"VQkzMQAACAAJ","RjV7oy55pDU","https://www.googleapis.com/books/v1/volumes/VQkzMQAACAAJ","Batman: Year One Deluxe Edition","[""Frank Miller""]",,"2017-09-12",288,,
"73wknu2cVIkC","J0hokmXO+58","https://www.googleapis.com/books/v1/volumes/73wknu2cVIkC","Batman - The Complete History","[""Les Daniels""]","Chronicle Books","2004-04-01",208,4.5,5
"br1KlyUhmloC","Kep96qBHsGI","https://www.googleapis.com/books/v1/volumes/br1KlyUhmloC","Batman","[""John Shirley"",""Bob Kane""]","Random House Digital, Inc.","2006",310,3.5,2
"WkeCNwAACAAJ","iOB9Tba9gQg","https://www.googleapis.com/books/v1/volumes/WkeCNwAACAAJ","Batman","[""Yoshinori Natsume"",""Rob Leigh"",""Sheldon Drzka"",""Bob Kane""]","Titan Books (UK)","2008",190,4,2
"7AY6rnQmBssC","i6X9S0yrWh4","https://www.googleapis.com/books/v1/volumes/7AY6rnQmBssC","The Dark Knight: Batman vs. the Cat Commander","[""J.E. Bright""]","Capstone","2014",88,4,1
"4Ff5D0LuwZAC","QWCROWrKFwc","https://www.googleapis.com/books/v1/volumes/4Ff5D0LuwZAC","Batman Undercover","[""Paul Weissburg"",""Luciano Vecchio""]","Capstone Classroom","2013-01-01",81,,
"L7E-DwAAQBAJ","iidTLzrSjpQ","https://www.googleapis.com/books/v1/volumes/L7E-DwAAQBAJ","Batman (2016-) #39","[""Tom King""]","DC Comics","2018-01-17",20,,
"K10Cs-4ZsMwC","5toYFgh2vTU","https://www.googleapis.com/books/v1/volumes/K10Cs-4ZsMwC","Batman: Fun House of Evil","[""Donald B. Lemke"",""Mike De Carlo"",""David Tanguay""]","Capstone","2009-01-01",88,,
"qYe_CwAAQBAJ","NOeNQ/qjiVI","https://www.googleapis.com/books/v1/volumes/qYe_CwAAQBAJ","The Caped Crusade","[""Glen Weldon""]","Simon and Schuster","2016-03-22",336,,
"tgxiRwAACAAJ","K1zXNUsrJ1Y","https://www.googleapis.com/books/v1/volumes/tgxiRwAACAAJ","My First Batman Book","[""David Bar Katz""]","Downtown Bookworks","2011-01-11",12,,
"VQkzMQAACAAJ","RjV7oy55pDU","https://www.googleapis.com/books/v1/volumes/VQkzMQAACAAJ","Batman: Year One Deluxe Edition","[""Frank Miller""]",,"2017-09-12",288,,
"73wknu2cVIkC","J0hokmXO+58","https://www.googleapis.com/books/v1/volumes/73wknu2cVIkC","Batman - The Complete History","[""Les Daniels""]","Chronicle Books","2004-04-01",208,4.5,5
"br1KlyUhmloC","Kep96qBHsGI","https://www.googleapis.com/books/v1/volumes/br1KlyUhmloC","Batman","[""John Shirley"",""Bob Kane""]","Random House Digital, Inc.","2006",310,3.5,2
"7AY6rnQmBssC","J/qmfDFiZqE","https://www.googleapis.com/books/v1/volumes/7AY6rnQmBssC","The Dark Knight: Batman vs. the Cat Commander","[""J.E. Bright""]","Capstone","2014",88,4,1
"4Ff5D0LuwZAC","fzRGZ+7mBAU","https://www.googleapis.com/books/v1/volumes/4Ff5D0LuwZAC","Batman Undercover","[""Paul Weissburg"",""Luciano Vecchio""]","Capstone Classroom","2013-01-01",81,,
"K10Cs-4ZsMwC","VhPBeQgIyjw","https://www.googleapis.com/books/v1/volumes/K10Cs-4ZsMwC","Batman: Fun House of Evil","[""Donald B. Lemke"",""Mike De Carlo"",""David Tanguay""]","Capstone","2009-01-01",88,,
"WkeCNwAACAAJ","g7AKQdHETl0","https://www.googleapis.com/books/v1/volumes/WkeCNwAACAAJ","Batman","[""Yoshinori Natsume"",""Rob Leigh"",""Sheldon Drzka"",""Bob Kane""]","Titan Books (UK)","2008",190,4,2
"nHuLCwAAQBAJ","YRQ6kkqWgwI","https://www.googleapis.com/books/v1/volumes/nHuLCwAAQBAJ","Batman: Contagion","[""Chuck Dixon"",""Doug Moench"",""Alan Grant""]","DC","2016-03-15",504,,
"bQFZLZsRppgC","qMOJC2mLgew","https://www.googleapis.com/books/v1/volumes/bQFZLZsRppgC","Batman","[""John Marriott""]",,"1989",96,3,1
"tgxiRwAACAAJ","K1zXNUsrJ1Y","https://www.googleapis.com/books/v1/volumes/tgxiRwAACAAJ","My First Batman Book","[""David Bar Katz""]","Downtown Bookworks","2011-01-11",12,,
"VQkzMQAACAAJ","RjV7oy55pDU","https://www.googleapis.com/books/v1/volumes/VQkzMQAACAAJ","Batman: Year One Deluxe Edition","[""Frank Miller""]",,"2017-09-12",288,,
"73wknu2cVIkC","J0hokmXO+58","https://www.googleapis.com/books/v1/volumes/73wknu2cVIkC","Batman - The Complete History","[""Les Daniels""]","Chronicle Books","2004-04-01",208,4.5,5
"br1KlyUhmloC","Kep96qBHsGI","https://www.googleapis.com/books/v1/volumes/br1KlyUhmloC","Batman","[""John Shirley"",""Bob Kane""]","Random House Digital, Inc.","2006",310,3.5,2
"7AY6rnQmBssC","J/qmfDFiZqE","https://www.googleapis.com/books/v1/volumes/7AY6rnQmBssC","The Dark Knight: Batman vs. the Cat Commander","[""J.E. Bright""]","Capstone","2014",88,4,1
"4Ff5D0LuwZAC","fzRGZ+7mBAU","https://www.googleapis.com/books/v1/volumes/4Ff5D0LuwZAC","Batman Undercover","[""Paul Weissburg"",""Luciano Vecchio""]","Capstone Classroom","2013-01-01",81,,
"K10Cs-4ZsMwC","VhPBeQgIyjw","https://www.googleapis.com/books/v1/volumes/K10Cs-4ZsMwC","Batman: Fun House of Evil","[""Donald B. Lemke"",""Mike De Carlo"",""David Tanguay""]","Capstone","2009-01-01",88,,
"WkeCNwAACAAJ","g7AKQdHETl0","https://www.googleapis.com/books/v1/volumes/WkeCNwAACAAJ","Batman","[""Yoshinori Natsume"",""Rob Leigh"",""Sheldon Drzka"",""Bob Kane""]","Titan Books (UK)","2008",190,4,2
"nHuLCwAAQBAJ","YRQ6kkqWgwI","https://www.googleapis.com/books/v1/volumes/nHuLCwAAQBAJ","Batman: Contagion","[""Chuck Dixon"",""Doug Moench"",""Alan Grant""]","DC","2016-03-15",504,,
"bQFZLZsRppgC","qMOJC2mLgew","https://www.googleapis.com/books/v1/volumes/bQFZLZsRppgC","Batman","[""John Marriott""]",,"1989",96,3,1
"tgxiRwAACAAJ","K1zXNUsrJ1Y","https://www.googleapis.com/books/v1/volumes/tgxiRwAACAAJ","My First Batman Book","[""David Bar Katz""]","Downtown Bookworks","2011-01-11",12,,
"VQkzMQAACAAJ","RjV7oy55pDU","https://www.googleapis.com/books/v1/volumes/VQkzMQAACAAJ","Batman: Year One Deluxe Edition","[""Frank Miller""]",,"2017-09-12",288,,
"73wknu2cVIkC","J0hokmXO+58","https://www.googleapis.com/books/v1/volumes/73wknu2cVIkC","Batman - The Complete History","[""Les Daniels""]","Chronicle Books","2004-04-01",208,4.5,5
"br1KlyUhmloC","Kep96qBHsGI","https://www.googleapis.com/books/v1/volumes/br1KlyUhmloC","Batman","[""John Shirley"",""Bob Kane""]","Random House Digital, Inc.","2006",310,3.5,2
"7AY6rnQmBssC","J/qmfDFiZqE","https://www.googleapis.com/books/v1/volumes/7AY6rnQmBssC","The Dark Knight: Batman vs. the Cat Commander","[""J.E. Bright""]","Capstone","2014",88,4,1
"4Ff5D0LuwZAC","fzRGZ+7mBAU","https://www.googleapis.com/books/v1/volumes/4Ff5D0LuwZAC","Batman Undercover","[""Paul Weissburg"",""Luciano Vecchio""]","Capstone Classroom","2013-01-01",81,,
"K10Cs-4ZsMwC","VhPBeQgIyjw","https://www.googleapis.com/books/v1/volumes/K10Cs-4ZsMwC","Batman: Fun House of Evil","[""Donald B. Lemke"",""Mike De Carlo"",""David Tanguay""]","Capstone","2009-01-01",88,,
"WkeCNwAACAAJ","g7AKQdHETl0","https://www.googleapis.com/books/v1/volumes/WkeCNwAACAAJ","Batman","[""Yoshinori Natsume"",""Rob Leigh"",""Sheldon Drzka"",""Bob Kane""]","Titan Books (UK)","2008",190,4,2
"nHuLCwAAQBAJ","YRQ6kkqWgwI","https://www.googleapis.com/books/v1/volumes/nHuLCwAAQBAJ","Batman: Contagion","[""Chuck Dixon"",""Doug Moench"",""Alan Grant""]","DC","2016-03-15",504,,
"bQFZLZsRppgC","qMOJC2mLgew","https://www.googleapis.com/books/v1/volumes/bQFZLZsRppgC","Batman","[""John Marriott""]",,"1989",96,3,1
